,Brand,Model Name,Display Size,Operating System,Picture Quality,Smart Tv,Sound Technology,Refresh Rate,Screen Type,Connectivity,Price
370,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
371,SONY,KD-75X82L,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,50 Hz,LED,4 (Rear) HDMI | 2 USB,"₹1,48,490"
372,LG,55UP7720PTY,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹51,990"
373,SAMSUNG,QA65QN90BAKLXL,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",100 Hz,QLED,4 Rear HDMI | 2 USB,"₹1,79,990"
374,LG,55UQ7550PSF,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹45,490"
375,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
376,KODAK,55MT5022,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹32,999"
377,LG,OLED65G2PSA,164 cm (65 Inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,120 Hz,OLED,4 HDMI | 3 USB,"₹2,19,990"
378,SENS,SENS50WGSUHD,127 cm (50 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Audio,60 Hz,LED,3 HDMI | 2 USB,"₹25,999"
379,KODAK,75MT5044,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹98,888"
380,LG,OLED65A3PSA,164 cm (65 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,OLED,3 HDMI | 2 USB,"₹1,57,990"
381,SONY,KDL-32W6103,80 cm (32 inch),Linux based,"HD Ready, 1366 x 768",Yes,Open Baffle Speaker,50 Hz,LED,2 HDMI | 2 USB,"₹32,990"
382,SAMSUNG,UA75BU8000KXXL,190 cm (75 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,50 Hz,LED,3 (Rear) HDMI | 2 (Rear) USB,"₹1,33,990"
383,SONY,XR-55X90K,138.8 cm (55 Inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,50 Hz,LED,4 HDMI | 2 USB,"₹99,990"
384,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
385,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
386,LG,65UR7500PSC,164 cm (65 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹65,990"
387,SAMSUNG,QA55LS01TAKXXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,4 HDMI | 2 USB,"₹87,999"
388,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
389,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
390,SENS,SENS43WASFHD,109 cm (43 inch),Android,"Full HD, 1920 x 1080",Yes,Dolby Audio,60 Hz,LED,2 HDMI | 2 USB,"₹18,999"
391,SAMSUNG,UA65CU7650KLXL,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840x2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹69,990"
392,Lloyd,55QS850E,140 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Audio,60 Hz,QLED,3 HDMI | 2 USB,"₹49,990"
393,Infinix,43W1 Q,109 cm (43 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
394,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
395,SAMSUNG,UA32TE40FAKBXL,80 cm (32 inch),Tizen,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹19,999"
396,Vu,32UA,80 cm (32 inch),Linux,"HD Ready, 1366 x 768",Yes,"Dolby Audio, DTS HD",60 Hz,LED,2 HDMI | 2 USB,"₹20,000"
397,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
398,Haier,65E9,165 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,4 (Rear) HDMI | 2 (Rear) USB,"₹68,990"
399,TOSHIBA,65M650MP,164 cm (65 inch),VIDAA,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹89,999"
400,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
401,SAMSUNG,UA49NU7100KXXL/UA49NU7100KLXL,123 cm (49 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹61,499"
402,SAMSUNG,QA55QN85AAKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,QLED,4 HDMI | 2 USB,"₹89,990"
403,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
404,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
405,SAMSUNG,49NU8000,123 cm (49 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,100 Hz,LED,4 HDMI | 2 USB,"₹1,27,900"
406,Hisense,65U6K,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Atmos, Dolby Audio, Stereo Speaker",60 Hz,QLED,3 HDMI | 2 USB,"₹64,999"
407,ZEBRONICS,Zeb-43P1,109 cm (43 inch),Android Based,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 (Rear) HDMI | 2 USB,"₹18,999"
408,Hisense,70A71F,177 cm (70 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Audio, Dolby Atmos",60 Hz,LED,3 HDMI | 2 USB,"₹74,990"
409,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
410,SAMSUNG,QA55Q70BAKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",100 Hz,QLED,4 HDMI | 2 USB,"₹79,990"
411,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
412,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
413,SONY,XR-77A80L,194.7 cm (77 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,OLED,4 (Rear) HDMI | 2 USB,"₹4,44,490"
414,SAMSUNG,QA43Q60AAKLXL,108 cm (43 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹47,990"
415,Panasonic,TH-43MS660DX,108 cm (43 inch),Google TV,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹27,990"
416,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
417,KODAK,55MT5022,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹32,999"
418,SAMSUNG,QA55Q80BAKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",100 Hz,QLED,4 HDMI | 2 USB,"₹84,990"
419,SAMSUNG,UA32T4360AKXXL,80 cm (32 inch),Tizen,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹16,490"
420,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
421,KODAK,50CAPROGT5012,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹24,699"
422,Vu,32UA,80 cm (32 inch),Linux,"HD Ready, 1366 x 768",Yes,"Dolby Audio, DTS HD",60 Hz,LED,2 HDMI | 2 USB,"₹20,000"
423,SAMSUNG,UA32TE40FAKBXL,80 cm (32 inch),Tizen,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹19,999"
424,TCL,65C645,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,QLED,3 HDMI | 1 USB,"₹64,900"
425,SAMSUNG,QA55QN95BAKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",100 Hz,QLED,4 Rear HDMI | 3 Rear USB,"₹1,24,990"
426,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
427,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
428,SONY,KD-55X85J,139 cm (55 inch),NA,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,4 HDMI | 2 USB,"₹79,990"
429,SONY,KD-55X80K,138.8 cm (55 Inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,50 Hz,LCD,4 HDMI | 2 USB,"₹74,690"
430,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
431,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
432,SAMSUNG,55NU7470,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,100 Hz,LED,3 HDMI | 2 USB,"₹1,43,900"
433,Panasonic,TH-65MX850DX,144.8 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹95,980"
434,TOSHIBA,55M650MP,139 cm (55 inch),VIDAA,"Ultra HD (4K), 3840 X 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹69,999"
435,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
436,InnoQ,IN43-FSBDLX,109 cm (43 inch),Android Based,"Full HD, 1920 x 1080",Yes,Powered By Thunder Audio,60 Hz,LED,2 (Rear) HDMI | 2 USB,"₹15,389"
437,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
438,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
439,Dyanora,DY-LD32H1S,80 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2 (Rear) HDMI | 2 (Rear) USB,"₹9,899"
440,Blaupunkt,42CSA7707,106 cm (42 inch),Android,"Full HD, 1920 x 1080",Yes,Surround Sound,60 Hz,LED,3 HDMI | 2 USB,"₹15,999"
441,Haier,LE32W4000,80 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2(rear) HDMI | 2 (Rear) USB,"₹19,000"
442,Dyanora,DYLD-43F1S,108 cm (43 inch),Linux,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 (Rear) HDMI | 2 USB,"₹15,299"
443,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
444,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
445,ONIDA,55UIV,139 cm (55 inch),VIDAA,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹35,999"
446,KODAK,50CAPROGT5012,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹24,699"
447,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
448,SAMSUNG,QA55Q70BAKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",100 Hz,QLED,4 HDMI | 2 USB,"₹79,990"
449,SONY,XR-77A80L,194.7 cm (77 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,OLED,4 (Rear) HDMI | 2 USB,"₹4,44,490"
450,SAMSUNG,UA65AU9070,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹1,14,990"
451,SAMSUNG,QA55Q80BAKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",100 Hz,QLED,4 HDMI | 2 USB,"₹84,990"
452,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
453,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
454,LG,OLED55C2PSC,122.2 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,OLED,4 HDMI | 3 USB,"₹1,25,990"
455,SAMSUNG,QA65Q70BAKLXL,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",100 Hz,QLED,4 HDMI | 2 USB,"₹1,14,990"
456,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
457,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
458,SAMSUNG,QA55Q80AAKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,4 HDMI | 2 USB,"₹74,990"
459,SAMSUNG,UN43TU8000FXZA,108 cm (43 inch),Linux,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹37,990"
460,SAMSUNG,QA65QN95BAKLXL,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",100 Hz,QLED,4 Rear HDMI | 3 Rear USB,"₹1,99,990"
461,SAMSUNG,QA55Q60TAKXXL,139 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹72,999"
462,Dyanora,DY-LD24H4S,60 cm (24 inch),Linux based,"HD Ready, 1366 x 768",Yes,Surround,60 Hz,LED,2 (Rear) HDMI | 2 (Rear) USB,"₹6,799"
463,Dyanora,DY-LD43U4S,109 cm (43 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹19,999"
464,SAMSUNG,QA65Q60TAKXXL,165 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹1,09,990"
465,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
466,KODAK,50CAPROGT5012,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹24,699"
467,Acer,AR43GT2851UDFL,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹23,999"
468,Panasonic,TH-65LZ950DX,164 cm (65 inch),NA,"Ultra HD (4K), 3840x2160",Yes,NA,100 Hz,OLED,3 HDMI | 2 USB,"₹1,91,980"
469,SAMSUNG,UA65AU7500,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹69,000"
470,LG,OLED55B2PSA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 × 2160",Yes,NA,120 Hz,OLED,4 HDMI | 2 USB,"₹1,17,990"
471,Panasonic,TH-75MX740DX,190 cm (75 inch),NA,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹1,25,980"
472,SENS,SENS43WASFHD,109 cm (43 inch),Android,"Full HD, 1920 x 1080",Yes,Dolby Audio,60 Hz,LED,2 HDMI | 2 USB,"₹18,999"
473,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
474,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
475,SONY,KD75X80K,189 cm (75 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,50 Hz,LED,4 HDMI | 2 USB,"₹1,44,990"
476,SAMSUNG,UA50AU7700,125 cm (50 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹49,490"
477,SAMSUNG,QA65QN85AAKLXL,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,QLED,4 HDMI | 2 USB,"₹1,59,990"
478,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
479,Panasonic,TH-32JS650DX,80 cm (32 inch),NA,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹14,490"
480,SONY,XR-75X90K,189 cm (75 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,100 HZ,LED,4 HDMI | 2 USB,"₹2,49,990"
481,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
482,KODAK,65CAPRO5099,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹42,999"
483,BeethoSOL,LEDSTVBG3273HD27-DN,80 cm (32 inch),Linux,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2 (Rear) HDMI | 2 (Rear) USB,"₹8,299"
484,SONY,XR-65A80K IN5,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,OLED,4 HDMI | 2 USB,"₹2,25,990"
485,SAMSUNG,QA50QN90CAKLXL,125 cm (50 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,QLED,4 HDMI | 2 USB,"₹1,41,990"
486,Panasonic,TH-55LX750DX,140 cm (55 inch),NA,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹55,980"
487,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
488,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
489,SAMSUNG,UA55BU8570ULXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",50 Hz,LED,3 HDMI | 2 USB,"₹56,990"
490,CANDY,CA65U50LED,165 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,4 HDMI | 2 USB,"₹45,490"
491,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
492,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
493,Sansui,JSW70GSUHDFF,178 cm (70 inch),Google TV,"Ultra HD (4K), ?3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹64,965"
494,SAMSUNG,UA43AU7600,108 cm (43 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹35,949"
495,SAMSUNG,QA55Q60BAKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",50 Hz,QLED,3 HDMI | 2 USB,"₹71,900"
496,TOSHIBA,75C350MP,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹82,999"
497,KODAK,55MT5022,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹32,999"
498,Mi,L43M8-5XIN,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹32,999"
499,Acer,AR32AR2841HDFL,80 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,Dolby Audio,60 Hz,LED,2 HDMI | 2 USB,"₹12,490"
500,SONY,KD-85X85K,215 cm (85 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,100 Hz,LED,4 HDMI | 2 USB,"₹3,09,990"
501,KODAK,75MT5044,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹98,888"
502,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
503,SAMSUNG,UA43BU8000KLXL,109.22 cm (43 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",50 Hz,LED,3 (Rear) HDMI | 2 USB,"₹43,990"
504,SAMSUNG,UA43T5500AKXXL,108 cm (43 inch),Tizen,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹31,990"
505,Lloyd,32HS550E,80 cm (32 inch),WebOS,"HD Ready, 1366x768$$Pixels",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹14,990"
506,LG,32LQ640BPTA,80 cm (32 inch),WebOS,"HD Ready, 1,366 x 768",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹19,000"
507,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
508,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
509,SONY,KD-55X75K,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹57,990"
510,LG,OLED55G2PSA,139 cm (55 Inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,120 W,OLED,4 HDMI | 3 USB,"₹1,44,990"
511,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
